Energy_Type,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
fossil_fuels,Jordan,13.82176,13.70614,15.53444,16.16706,17.10988,17.69926,17.67482,18.17396,17.09484,16.4594,15.768
fossil_fuels,Kazakhstan,70.14656,73.98082,80.06638,89.62806,81.71984,77.26706,77.69852,85.9959,90.58122,90.92338,86.32843687
fossil_fuels,Kuwait,53.65708,54.03966,57.45186,57.31932,61.22502,64.18226,65.83008,68.35868,69.5788,70.44736,66.88720184
fossil_fuels,Kyrgyzstan,0.93248,0.95786,0.92966,0.85916,1.19756,1.8142,1.66192,1.23234,1.13458,1.13458,1.374
fossil_fuels,Lebanon,13.98532,14.57094,14.53616,16.4876,16.69252,17.05442,17.84402,19.52286,19.56516,19.24462,18.27206559
fossil_fuels,Libya,30.59888,24.43342,32.21192,35.6307,35.45962,35.25282,29.52728,31.27756,32.11322,31.68834,30.08692439
fossil_fuels,Malaysia,110.26576,113.35554,116.98394,118.88368,125.16382,127.0645,127.43674,128.55346,131.989,133.752,126.9926513
fossil_fuels,Mexico,213.628051,226.059941,234.334436,236.81912,228.628657,240.020011,245.265098,248.028792,265.0131597,252.5988576,249.858747
fossil_fuels,Morocco,18.3723,20.96952,23.47744,21.23836,22.6775,23.60152,24.22944,25.2625,26.08312,30.46916,28.92935739
fossil_fuels,Mozambique,0.01786,0.0188,0.01974,0.32806,1.4946,2.53988,2.95724,2.7542,2.9328,3.6801,3.49412088
fossil_fuels,Netherlands,99.990568,93.071798,83.103776,82.743242,83.289013,88.426056,91.314187,91.314535,87.968678,90.7339033,82.4153048
fossil_fuels,New Zealand,11.13020537,9.831401227,11.5561844,10.3082358,8.376638426,8.111574346,6.320363436,7.665684079,6.779203098,7.539387021,8.110432123
fossil_fuels,Nigeria,18.56218,19.88194,21.66418,22.14358,25.2719,25.09518,23.88352,25.06886,24.11758,23.15502,21.98484793
fossil_fuels,North Korea,7.76816,5.66444,5.39184,4.16608,4.61446,3.51278,3.87844,2.82094,2.45904,2.40922,2.287466619
